ReviewID;CustomerID;ProductID;ReviewDate;Rating;Comment;ConfianceScore;LabelModel;labelFinal
1;714;3917;2022-04-27;4;Très bon rapport qualité/prix, j'adore cette voiture.;0.9973288774490356;POSITIVE;POSITIVE
2;27;4422;2020-09-08;1;Moteur poussif et reprise très lente.;0.998332679271698;NEGATIVE;NEGATIVE
3;486;3846;2020-01-10;4;Confort exceptionnel, même sur longs trajets.;0.9461546540260315;POSITIVE;POSITIVE
4;647;2093;2023-08-13;3;Globalement correct mais il y a mieux pour le prix.;0.9841157793998718;NEGATIVE;NEUTRE
5;511;1315;2021-12-16;1;Consommation bien supérieure à celle annoncée.;0.5916783213615417;NEGATIVE;NEGATIVE
6;394;3150;2020-04-06;3;Ni exceptionnel ni décevant, ça fait le job.;0.8087287545204163;NEGATIVE;NEUTRE
7;914;2474;2023-05-11;3;Conduite agréable, mais finition intérieure un peu décevante.;0.9383717179298401;NEGATIVE;NEUTRE
8;999;1251;2022-08-10;1;Consommation bien supérieure à celle annoncée.;0.5916783213615417;NEGATIVE;NEGATIVE
9;556;1089;2021-05-15;4;Design moderne et finitions soignées.;0.9276741147041321;POSITIVE;POSITIVE
10;568;1574;2021-11-09;2;Consommation correcte, mais coffre un peu petit.;0.9509078860282898;NEGATIVE;NEGATIVE
11;316;3713;2025-01-30;2;Consommation correcte, mais coffre un peu petit.;0.9509078860282898;NEGATIVE;NEGATIVE
12;363;1104;2021-08-18;1;Consommation bien supérieure à celle annoncée.;0.5916783213615417;NEGATIVE;NEGATIVE
13;351;170;2021-08-05;5;Très bon rapport qualité/prix, j'adore cette voiture.;0.9973288774490356;POSITIVE;POSITIVE
14;866;3057;2021-03-22;4;Confort exceptionnel, même sur longs trajets.;0.9461546540260315;POSITIVE;POSITIVE
15;701;1353;2022-01-28;2;Bonne voiture mais les options sont chères.;0.7202245593070984;NEGATIVE;NEGATIVE
16;390;4022;2023-09-09;2;Globalement correct mais il y a mieux pour le prix.;0.9841157793998718;NEGATIVE;NEGATIVE
17;560;3920;2024-07-12;1;Beaucoup de plastiques bon marché à l'intérieur.;0.9814180731773376;NEGATIVE;NEGATIVE
18;758;2931;2025-05-27;1;Consommation bien supérieure à celle annoncée.;0.5916783213615417;NEGATIVE;NEGATIVE
19;358;3086;2020-11-09;2;Consommation correcte, mais coffre un peu petit.;0.9509078860282898;NEGATIVE;NEGATIVE
20;182;3660;2021-07-12;1;Beaucoup de plastiques bon marché à l'intérieur.;0.9814180731773376;NEGATIVE;NEGATIVE
21;989;370;2023-07-07;4;Très bon rapport qualité/prix, j'adore cette voiture.;0.9973288774490356;POSITIVE;POSITIVE
22;899;4506;2021-04-11;5;Confort exceptionnel, même sur longs trajets.;0.9461546540260315;POSITIVE;POSITIVE
23;440;135;2020-06-11;1;Beaucoup de plastiques bon marché à l'intérieur.;0.9814180731773376;NEGATIVE;NEGATIVE
24;11;4065;2023-04-21;1;Moteur poussif et reprise très lente.;0.998332679271698;NEGATIVE;NEGATIVE
25;817;2888;2023-09-19;1;Moteur poussif et reprise très lente.;0.998332679271698;NEGATIVE;NEGATIVE
26;311;797;2022-03-04;4;Tenue de route impeccable et consommation maîtrisée.;0.9671670198440552;POSITIVE;POSITIVE
27;192;4804;2023-01-15;2;Consommation correcte, mais coffre un peu petit.;0.9509078860282898;NEGATIVE;NEGATIVE
28;212;2691;2024-07-21;4;Très bon rapport qualité/prix, j'adore cette voiture.;0.9973288774490356;POSITIVE;POSITIVE
29;552;3754;2024-08-06;2;Consommation correcte, mais coffre un peu petit.;0.9509078860282898;NEGATIVE;NEGATIVE
30;24;3716;2022-10-16;5;Tenue de route impeccable et consommation maîtrisée.;0.9671670198440552;POSITIVE;POSITIVE
31;96;627;2024-03-24;2;Conduite agréable, mais finition intérieure un peu décevante.;0.9383717179298401;NEGATIVE;NEGATIVE
32;579;1099;2023-01-10;2;Globalement correct mais il y a mieux pour le prix.;0.9841157793998718;NEGATIVE;NEGATIVE
33;253;1475;2020-05-23;5;Confort exceptionnel, même sur longs trajets.;0.9461546540260315;POSITIVE;POSITIVE
34;561;4539;2024-12-16;4;Design moderne et finitions soignées.;0.9276741147041321;POSITIVE;POSITIVE
